2016-04-30 17:32:40 INFO  BasicAutoTest:48 - My Informaion.. 
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 765
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 770
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 775
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 780
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 785
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 790
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 795
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 800
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 805
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 810
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 815
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 820
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 825
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 830
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 835
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 840
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 845
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 850
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 855
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 860
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 865
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 870
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 875
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 880
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 885
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 890
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 895
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 900
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 905
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 910
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 915
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 920
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 925
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 930
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 935
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 940
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 945
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 950
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 955
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 960
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 965
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 970
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 975
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 980
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 985
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 990
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 995
2016-04-30 17:32:40 INFO  BasicAutoTest:48 - My Informaion.. 
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 0
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 5
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 10
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 15
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 20
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 25
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 30
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 35
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 40
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 45
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 50
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 55
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 60
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 65
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 70
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 75
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 80
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 85
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 90
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 95
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 100
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 105
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 110
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 115
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 120
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 125
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 130
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 135
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 140
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 145
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 150
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 155
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 160
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 165
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 170
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 175
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 180
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 185
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 190
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 195
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 200
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 205
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 210
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 215
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 220
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 225
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 230
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 235
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 240
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 245
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 250
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 255
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 260
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 265
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 270
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 275
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 280
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 285
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 290
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 295
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 300
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 305
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 310
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 315
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 320
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 325
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 330
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 335
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 340
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 345
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 350
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 355
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 360
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 365
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 370
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 375
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 380
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 385
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 390
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 395
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 400
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 405
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 410
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 415
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 420
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 425
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 430
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 435
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 440
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 445
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 450
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 455
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 460
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 465
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 470
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 475
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 480
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 485
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 490
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 495
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 500
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 505
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 510
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 515
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 520
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 525
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 530
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 535
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 540
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 545
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 550
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 555
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 560
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 565
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 570
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 575
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 580
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 585
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 590
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 595
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 600
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 605
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 610
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 615
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 620
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 625
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 630
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 635
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 640
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 645
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 650
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 655
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 660
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 665
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 670
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 675
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 680
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 685
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 690
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 695
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 700
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 705
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 710
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 715
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 720
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 725
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 730
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 735
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 740
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 745
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 750
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 755
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 760
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 765
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 770
2016-04-30 17:32:40 FATAL BasicAutoTest:52 - Fatal Message: 775
